2024-10-07 18:59:05,232 INFO    MainThread:17040 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-10-07 18:59:05,233 INFO    MainThread:17040 [wandb_setup.py:_flush():76] Configure stats pid to 17040
2024-10-07 18:59:05,233 INFO    MainThread:17040 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2024-10-07 18:59:05,233 INFO    MainThread:17040 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/project/model/LSTM/wandb/settings
2024-10-07 18:59:05,233 INFO    MainThread:17040 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-10-07 18:59:05,233 INFO    MainThread:17040 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-10-07 18:59:05,233 INFO    MainThread:17040 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'model_wandb.py', 'program_abspath': '/home/ubuntu/project/model/LSTM/model_wandb.py', 'program': 'model_wandb.py'}
2024-10-07 18:59:05,233 INFO    MainThread:17040 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-10-07 18:59:05,233 INFO    MainThread:17040 [wandb_init.py:_log_setup():521] Logging user logs to /home/ubuntu/project/model/LSTM/wandb/run-20241007_185905-i9eck108/logs/debug.log
2024-10-07 18:59:05,234 INFO    MainThread:17040 [wandb_init.py:_log_setup():522] Logging internal logs to /home/ubuntu/project/model/LSTM/wandb/run-20241007_185905-i9eck108/logs/debug-internal.log
2024-10-07 18:59:05,234 INFO    MainThread:17040 [wandb_init.py:init():561] calling init triggers
2024-10-07 18:59:05,234 INFO    MainThread:17040 [wandb_init.py:init():569] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'architecture': 'Net', 'dataset': 'Custom', 'epochs': 50}
2024-10-07 18:59:05,234 INFO    MainThread:17040 [wandb_init.py:init():611] starting backend
2024-10-07 18:59:05,234 INFO    MainThread:17040 [wandb_init.py:init():615] setting up manager
2024-10-07 18:59:05,238 INFO    MainThread:17040 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-07 18:59:05,240 INFO    MainThread:17040 [wandb_init.py:init():623] backend started and connected
2024-10-07 18:59:05,246 INFO    MainThread:17040 [wandb_init.py:init():715] updated telemetry
2024-10-07 18:59:05,246 INFO    MainThread:17040 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-10-07 18:59:05,752 INFO    MainThread:17040 [wandb_run.py:_on_init():2357] communicating current version
2024-10-07 18:59:06,659 INFO    MainThread:17040 [wandb_run.py:_on_init():2366] got version response upgrade_message: "wandb version 0.18.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-10-07 18:59:06,659 INFO    MainThread:17040 [wandb_init.py:init():799] starting run threads in backend
2024-10-07 18:59:08,554 INFO    MainThread:17040 [wandb_run.py:_console_start():2335] atexit reg
2024-10-07 18:59:08,554 INFO    MainThread:17040 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-10-07 18:59:08,554 INFO    MainThread:17040 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-10-07 18:59:08,554 INFO    MainThread:17040 [wandb_run.py:_redirect():2280] Redirects installed.
2024-10-07 18:59:08,554 INFO    MainThread:17040 [wandb_init.py:init():842] run started, returning control to user process
2024-10-07 19:03:37,389 INFO    MainThread:17040 [wandb_run.py:_finish():2064] finishing run ransomware-detection/model_LSTM/i9eck108
2024-10-07 19:03:37,389 INFO    MainThread:17040 [wandb_run.py:_atexit_cleanup():2304] got exitcode: 0
2024-10-07 19:03:37,389 INFO    MainThread:17040 [wandb_run.py:_restore():2287] restore
2024-10-07 19:03:37,389 INFO    MainThread:17040 [wandb_run.py:_restore():2293] restore done
2024-10-07 19:03:42,570 INFO    MainThread:17040 [wandb_run.py:_footer_history_summary_info():3936] rendering history
2024-10-07 19:03:42,572 INFO    MainThread:17040 [wandb_run.py:_footer_history_summary_info():3968] rendering summary
2024-10-07 19:03:42,576 INFO    MainThread:17040 [wandb_run.py:_footer_sync_info():3895] logging synced files
